entityName,name,purpose,dataType,isNullable,display_name,description,file_path
purchaseInvoiceData,IBANNumber,hasA,string,false,IBANNumber,"International Bank Account Number, ISO 13616.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,approvedBy,hasA,string,false,approvedBy,userId (from userListing) for person who approved the entry.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,approvedDateTime,hasA,datetime,false,approvedDateTime,The date and time the entry was approved.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,bankAccountId,hasA,string,false,bankAccountId,Unambiguous identification of the bank account to which payments and receipts are made.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,bankAccountName,hasA,string,false,bankAccountName,The name of the individual or company holding the bank account.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,bankAccountNumber,hasA,string,false,bankAccountNumber,The number allocated to the account by the individual’s or company’s own bank.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,batchId,hasA,string,false,batchId,System-generated ID for batch.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressAdditionalAddressDetail,hasA,string,false,billingAddressAdditionalAddressDetail,Additional detail required for the billing address.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressAddressType,hasA,string,false,billingAddressAddressType,"Field to differentiate between multiple addresses. To indicate the type of address, choose from the predefined enumeration, e.g. StreetAddress PostalAddress, BillingAddress.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressBuilding,hasA,string,false,billingAddressBuilding,The physical building billing address of the supplier.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressCity,hasA,string,false,billingAddressCity,The physical city in the billing address of the supplier.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressCountry,hasA,string,false,billingAddressCountry,"Two-letter country code according to ISO 3166-1 alpha 2 standard, e.g. NL for the Netherlands.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressNumber,hasA,string,false,billingAddressNumber,The building or other number of the billing address of the supplier.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressPostalCode,hasA,string,false,billingAddressPostalCode,The postcode of the building where the billing address is located.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressRegion,hasA,string,false,billingAddressRegion,"Country specific code to indicate regions/provinces within the tax authority. Preferably described according to ISO 3166-2, e.g. GB-KEN for Kent county in the United Kingdom.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,billingAddressStreetName,hasA,string,false,billingAddressStreetName,The street listed in the billing address of the supplier.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,branchStoreNumber,hasA,string,false,branchStoreNumber,"Branch or store number, additional segregation of customer/supplier, used if not included as part of the customer/supplier ID.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,businessUnitCode,hasA,string,false,businessUnitCode,"Used to identify the business unit, region, branch, etc. at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC) 280, Segment Reporting.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glLineCreditAccountNumber,hasA,string,false,glLineCreditAccountNumber,GL account number on which the credit side of the transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glLineDebitAccountNumber,hasA,string,false,glLineDebitAccountNumber,GL account number on which the debit side of the transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glPostingDate,hasA,datetime,false,glPostingDate,The date of posting to GL.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glTax1CreditAccountNumber,hasA,string,false,glTax1CreditAccountNumber,GL account number on which the credit side of the Tax1 transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glTax1DebitAccountNumber,hasA,string,false,glTax1DebitAccountNumber,GL account number on which the debit side of the Tax1 transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glTax2CreditAccountNumber,hasA,string,false,glTax2CreditAccountNumber,GL account number on which the credit side of the Tax2 transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glTax2DebitAccountNumber,hasA,string,false,glTax2DebitAccountNumber,GL account number on which the debit side of the Tax2 transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glTax3CreditAccountNumber,hasA,string,false,glTax3CreditAccountNumber,GL account number on which the credit side of the Tax3 transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,glTax3DebitAccountNumber,hasA,string,false,glTax3DebitAccountNumber,GL account number on which the debit side of the Tax3 transaction has been posted.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,invoiceAmount,hasA,decimal,false,invoiceAmount,Transaction monetary amount recorded in the functional currency. No multicurrency translation should need to be performed on this amount because all transactions should be recorded in a single currency. Must be absolute.,abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
purchaseInvoiceData,invoiceAmountCurrency,hasA,string,false,invoiceAmountCurrency,"Three-letter currency code according to ISO 4217 standard for the functional currency of the entity, e.g. EUR for Euros or USD for American Dollars.",abfss://demo-ext@demoucextstoragejwest.dfs.core.windows.net/engineb-cdm/purchaseInvoiceData.json
